"annotation_id","annotator","created_at","id","lead_time","ner_label","pos_label","text","updated_at"
1,"2","2025-01-23T03:42:58.195306Z",1,196.501,"[{""start"":0,""end"":13,""text"":""Revanth Reddy"",""labels"":[""PERSON""]},{""start"":14,""end"":23,""text"":""Telangana"",""labels"":[""LOCATION""]},{""start"":46,""end"":55,""text"":""कांग्रेस"",""labels"":[""ORG""]}]","[{""start"":0,""end"":13,""text"":""Revanth Reddy"",""labels"":[""PROPN""]},{""start"":14,""end"":23,""text"":""Telangana"",""labels"":[""PROPN""]},{""start"":24,""end"":27,""text"":""CM"",""labels"":[""TITLE""]},{""start"":27,""end"":31,""text"":""Oath"",""labels"":[""NOUN""]},{""start"":33,""end"":42,""text"":""तेलंगाना"",""labels"":[""LOCATION""]},{""start"":42,""end"":46,""text"":""में"",""labels"":[""ADP""]},{""start"":57,""end"":70,""text"":""6 guarantee"",""labels"":[""NUM""]},{""start"":70,""end"":72,""text"":""पर"",""labels"":[""ADP""]},{""start"":73,""end"":85,""text"":""रेवंत रेड्डी"",""labels"":[""PROPN""]},{""start"":86,""end"":88,""text"":""की"",""labels"":[""ADP""]},{""start"":89,""end"":93,""text"":""मुहर"",""labels"":[""NOUN""]}]","Revanth Reddy Telangana CM Oath: तेलंगाना में कांग्रेस की 6 guarantee पर रेवंत रेड्डी की मुहर","2025-01-23T03:42:58.195306Z"
2,"2","2025-01-23T03:43:58.195306Z",2,140.800,"[{""start"":0,""end"":3,""text"":""BJP"",""labels"":[""ORG""]},{""start"":24,""end"":30,""text"":""दिल्ली"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":3,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":4,""end"":15,""text"":""PARLIAMENTRY"",""labels"":[""NOUN""]},{""start"":16,""end"":23,""text"":""MEETING"",""labels"":[""NOUN""]},{""start"":24,""end"":30,""text"":""दिल्ली"",""labels"":[""PROPN""]},{""start"":31,""end"":34,""text"":""में"",""labels"":[""ADP""]},{""start"":42,""end"":45,""text"":""BJP"",""labels"":[""ORG""]},{""start"":46,""end"":53,""text"":""संसदीय दल"",""labels"":[""NOUN""]},{""start"":54,""end"":56,""text"":""की"",""labels"":[""ADP""]},{""start"":57,""end"":59,""text"":""बैठक"",""labels"":[""NOUN""]}]","BJP PARLIAMENTRY MEETING: दिल्ली में BJP संसदीय दल की बैठक | BJP Meeting","2025-01-23T03:43:58.195306Z"
3,"2","2025-01-23T03:45:58.195306Z",3,164.700,"[{""start"":0,""end"":21,""text"":""Sharmistha Mukherjee"",""labels"":[""PERSON""]},{""start"":54,""end"":62,""text"":""congress"",""labels"":[""ORG""]}]","[{""start"":0,""end"":21,""text"":""Sharmistha Mukherjee"",""labels"":[""PROPN""]},{""start"":22,""end"":26,""text"":""Book"",""labels"":[""NOUN""]},{""start"":27,""end"":30,""text"":""क्या"",""labels"":[""PRON""]},{""start"":31,""end"":37,""text"":""राहुल"",""labels"":[""PROPN""]},{""start"":38,""end"":41,""text"":""में"",""labels"":[""ADP""]},{""start"":54,""end"":62,""text"":""congress"",""labels"":[""ORG""]},{""start"":63,""end"":65,""text"":""को"",""labels"":[""ADP""]},{""start"":66,""end"":72,""text"":""दोबारा"",""labels"":[""ADV""]},{""start"":73,""end"":75,""text"":""से"",""labels"":[""ADP""]},{""start"":76,""end"":81,""text"":""खड़ा"",""labels"":[""VERB""]},{""start"":82,""end"":86,""text"":""करने"",""labels"":[""VERB""]},{""start"":87,""end"":89,""text"":""की"",""labels"":[""ADP""]},{""start"":90,""end"":96,""text"":""योग्यता"",""labels"":[""NOUN""]},{""start"":97,""end"":99,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":100,""end"":102,""text"":""है"",""labels"":[""AUX""]}]","Sharmistha Mukherjee Book: क्या राहुल में congress को दोबारा से खड़ा करने की योग्यता नहीं है ?","2025-01-23T03:45:58.195306Z"
4,"2","2025-01-23T03:47:58.195306Z",4,210.100,"[{""start"":0,""end"":13,""text"":""Revanth Reddy"",""labels"":[""PERSON""]},{""start"":33,""end"":42,""text"":""telangana"",""labels"":[""LOCATION""]},{""start"":50,""end"":66,""text"":""Chief Minister"",""labels"":[""TITLE""]}]","[{""start"":0,""end"":13,""text"":""Revanth Reddy"",""labels"":[""PROPN""]},{""start"":14,""end"":18,""text"":""Oath"",""labels"":[""NOUN""]},{""start"":19,""end"":28,""text"":""Ceremony"",""labels"":[""NOUN""]},{""start"":33,""end"":42,""text"":""telangana"",""labels"":[""LOCATION""]},{""start"":43,""end"":45,""text"":""के"",""labels"":[""ADP""]},{""start"":50,""end"":66,""text"":""Chief Minister"",""labels"":[""TITLE""]},{""start"":70,""end"":74,""text"":""शपथ"",""labels"":[""NOUN""]},{""start"":75,""end"":79,""text"":""लेंगे"",""labels"":[""VERB""]}]","Revanth Reddy Oath Ceremony: रेवंत रेड्डी आज telangana के Chief Minister पद की शपथ लेंगे","2025-01-23T03:47:58.195306Z"
5,"2","2025-01-23T03:48:58.195306Z",5,176.100,"[{""start"":0,""end"":20,""text"":""India Alliance"",""labels"":[""ORG""]},{""start"":40,""end"":47,""text"":""I.N.D.I.A"",""labels"":[""ORG""]}]","[{""start"":0,""end"":20,""text"":""India Alliance"",""labels"":[""PROPN""]},{""start"":21,""end"":28,""text"":""Meeting"",""labels"":[""NOUN""]},{""start"":29,""end"":35,""text"":""Cancel"",""labels"":[""VERB""]},{""start"":40,""end"":47,""text"":""I.N.D.I.A"",""labels"":[""PROPN""]},{""start"":48,""end"":51,""text"":""टली"",""labels"":[""VERB""]},{""start"":52,""end"":55,""text"":""अब"",""labels"":[""ADV""]},{""start"":56,""end"":59,""text"":""दिसंबर"",""labels"":[""DATE""]},{""start"":60,""end"":65,""text"":""के तीसरे"",""labels"":[""ADP""]},{""start"":66,""end"":72,""text"":""हफ्ते"",""labels"":[""NOUN""]},{""start"":73,""end"":75,""text"":""में"",""labels"":[""ADP""]}]","India Alliance Meeting Cancel : I.N.D.I.A की बैठक टली, अब दिसंबर के तीसरे हफ्ते में","2025-01-23T03:48:58.195306Z"
6,"2","2025-01-23T03:49:58.195306Z",6,191.000,"[{""start"":20,""end"":23,""text"":""BJP"",""labels"":[""ORG""]},{""start"":46,""end"":59,""text"":""Vasundhara Raje"",""labels"":[""PERSON""]},{""start"":62,""end"":70,""text"":""विधायक"",""labels"":[""TITLE""]}]","[{""start"":0,""end"":10,""text"":""Rajasthan CM"",""labels"":[""TITLE""]},{""start"":11,""end"":13,""text"":""पर"",""labels"":[""ADP""]},{""start"":14,""end"":17,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":18,""end"":21,""text"":""में"",""labels"":[""ADP""]},{""start"":22,""end"":35,""text"":""गुटों का शक्ति"",""labels"":[""NOUN""]},{""start"":36,""end"":45,""text"":""प्रदर्शन"",""labels"":[""NOUN""]},{""start"":46,""end"":59,""text"":""Vasundhara Raje"",""labels"":[""PROPN""]},{""start"":60,""end"":62,""text"":""से"",""labels"":[""ADP""]},{""start"":63,""end"":65,""text"":""30"",""labels"":[""NUM""]},{""start"":66,""end"":70,""text"":""विधायक"",""labels"":[""NOUN""]},{""start"":71,""end"":73,""text"":""मिले"",""labels"":[""VERB""]}]","Rajasthan CM पर BJP में गुटों का शक्ति प्रदर्शन, Vasundhara Raje से 30 विधायक मिले |","2025-01-23T03:49:58.195306Z"
7,"2","2025-01-23T03:50:58.195306Z",7,211.000,"[{""start"":26,""end"":29,""text"":""BJP"",""labels"":[""ORG""]},{""start"":50,""end"":56,""text"":""CM शिवराज सिंह"",""labels"":[""PERSON""]},{""start"":62,""end"":64,""text"":""MP"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":22,""text"":""MP Election Result 2023"",""labels"":[""NOUN""]},{""start"":23,""end"":25,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":26,""end"":28,""text"":""को"",""labels"":[""ADP""]},{""start"":29,""end"":37,""text"":""दो तिहाई"",""labels"":[""NUM""]},{""start"":38,""end"":40,""text"":""से"",""labels"":[""ADP""]},{""start"":41,""end"":45,""text"":""ज्यादा"",""labels"":[""ADV""]},{""start"":46,""end"":49,""text"":""बहुमत"",""labels"":[""NOUN""]},{""start"":50,""end"":56,""text"":""CM शिवराज सिंह"",""labels"":[""PERSON""]},{""start"":57,""end"":59,""text"":""बोले"",""labels"":[""VERB""]},{""start"":60,""end"":61,""text"":""-"",""labels"":[""PUNCT""]},{""start"":62,""end"":64,""text"":""MP"",""labels"":[""PROPN""]},{""start"":65,""end"":69,""text"":""के मन"",""labels"":[""NOUN""]},{""start"":70,""end"":73,""text"":""में मोदी"",""labels"":[""PROPN""]}]","MP Election Result 2023 : BJP को दो तिहाई से ज्यादा बहुमत, CM शिवराज सिंह बोले- MP के मन में मोदी","2025-01-23T03:50:58.195306Z"
8,"2","2025-01-23T03:51:58.195306Z",8,175.700,"[{""start"":20,""end"":23,""text"":""भोपाल"",""labels"":[""LOCATION""]},{""start"":27,""end"":41,""text"":""वेदांता समूह"",""labels"":[""ORG""]},{""start"":45,""end"":58,""text"":""अनिल अग्रवाल"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":11,""text"":""दैनिक भास्कर"",""labels"":[""ORG""]},{""start"":12,""end"":14,""text"":""का"",""labels"":[""ADP""]},{""start"":15,""end"":21,""text"":""प्रेरणा उत्सव"",""labels"":[""NOUN""]},{""start"":22,""end"":24,""text"":""भोपाल"",""labels"":[""LOCATION""]},{""start"":25,""end"":27,""text"":""में"",""labels"":[""ADP""]},{""start"":28,""end"":41,""text"":""वेदांता समूह"",""labels"":[""PROPN""]},{""start"":42,""end"":47,""text"":""के संस्थापक"",""labels"":[""NOUN""]},{""start"":48,""end"":58,""text"":""अनिल अग्रवाल"",""labels"":[""PROPN""]},{""start"":59,""end"":61,""text"":""का"",""labels"":[""ADP""]},{""start"":62,""end"":71,""text"":""talk show"",""labels"":[""NOUN""]}]","दैनिक भास्कर का प्रेरणा उत्सव: भोपाल में वेदांता समूह के संस्थापक-चेयरमैन अनिल अग्रवाल का talk show","2025-01-23T03:51:58.195306Z"
9,"2","2025-01-23T03:52:58.195306Z",9,190.800,"[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""EVENT""]},{""start"":27,""end"":34,""text"":""Lucknow"",""labels"":[""LOCATION""]},{""start"":43,""end"":45,""text"":""UP"",""labels"":[""LOCATION""]},{""start"":64,""end"":70,""text"":""CM योगी"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""PROPN""]},{""start"":26,""end"":34,""text"":""Lucknow"",""labels"":[""PROPN""]},{""start"":35,""end"":42,""text"":""पहुंचे"",""labels"":[""VERB""]},{""start"":43,""end"":45,""text"":""UP"",""labels"":[""PROPN""]},{""start"":46,""end"":49,""text"":""के मजदूर"",""labels"":[""NOUN""]},{""start"":50,""end"":54,""text"":""CM योगी"",""labels"":[""TITLE""]},{""start"":55,""end"":57,""text"":""से"",""labels"":[""ADP""]},{""start"":58,""end"":61,""text"":""मुलाकात"",""labels"":[""NOUN""]},{""start"":62,""end"":65,""text"":""घर"",""labels"":[""NOUN""]},{""start"":66,""end"":68,""text"":""के लिए"",""labels"":[""ADP""]},{""start"":69,""end"":73,""text"":""जमीन"",""labels"":[""NOUN""]},{""start"":74,""end"":79,""text"":""देने"",""labels"":[""VERB""]},{""start"":80,""end"":82,""text"":""का"",""labels"":[""ADP""]},{""start"":83,""end"":87,""text"":""वादा"",""labels"":[""NOUN""]}]","Uttarkashi Tunnel Rescue: Lucknow पहुंचे UP के मजदूर​​: CM योगी से मुलाकात; घर के लिए जमीन देने का वादा","2025-01-23T03:52:58.195306Z"
10,"2","2025-01-23T03:53:58.195306Z",10,211.500,"[{""start"":21,""end"":24,""text"":""राजस्थान"",""labels"":[""LOCATION""]},{""start"":29,""end"":34,""text"":""भाजपा"",""labels"":[""ORG""]},{""start"":39,""end"":41,""text"":""CG"",""labels"":[""LOCATION""]},{""start"":46,""end"":52,""text"":""कांग्रेस"",""labels"":[""ORG""]},{""start"":74,""end"":76,""text"":""MP"",""labels"":[""LOCATION""]},{""start"":81,""end"":87,""text"":""कांग्रेस"",""labels"":[""ORG""]}]","[{""start"":0,""end"":18,""text"":""Bhaskar Exit Poll"",""labels"":[""NOUN""]},{""start"":19,""end"":20,""text"":""-"",""labels"":[""PUNCT""]},{""start"":21,""end"":24,""text"":""राजस्थान"",""labels"":[""PROPN""]},{""start"":25,""end"":27,""text"":""में"",""labels"":[""ADP""]},{""start"":28,""end"":34,""text"":""भाजपा"",""labels"":[""PROPN""]},{""start"":35,""end"":37,""text"":""और"",""labels"":[""CONJ""]},{""start"":38,""end"":41,""text"":""CG"",""labels"":[""PROPN""]},{""start"":42,""end"":44,""text"":""में"",""labels"":[""ADP""]},{""start"":45,""end"":52,""text"":""कांग्रेस"",""labels"":[""PROPN""]},{""start"":53,""end"":55,""text"":""की"",""labels"":[""ADP""]},{""start"":56,""end"":60,""text"":""जीत"",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":""का"",""labels"":[""ADP""]},{""start"":64,""end"":69,""text"":""अनुमान"",""labels"":[""NOUN""]},{""start"":70,""end"":72,""text"":""MP"",""labels"":[""PROPN""]},{""start"":73,""end"":75,""text"":""में"",""labels"":[""ADP""]},{""start"":76,""end"":82,""text"":""कांग्रेस"",""labels"":[""PROPN""]},{""start"":83,""end"":85,""text"":""को"",""labels"":[""ADP""]},{""start"":86,""end"":89,""text"":""बढ़त"",""labels"":[""NOUN""]}]","Bhaskar Exit Poll : राजस्थान में भाजपा और CG में कांग्रेस की जीत का अनुमान, MP में कांग्रेस को बढ़त","2025-01-23T03:53:58.195306Z"
11,"2","2025-01-23T03:54:58.195306Z",11,181.000,"[{""start"":15,""end"":25,""text"":""Yami Gautam"",""labels"":[""PERSON""]},{""start"":42,""end"":52,""text"":""Yami Gautam"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":13,""text"":""Happy Birthday"",""labels"":[""NOUN""]},{""start"":14,""end"":15,""text"":""-"",""labels"":[""PUNCT""]},{""start"":15,""end"":25,""text"":""Yami Gautam"",""labels"":[""PROPN""]},{""start"":26,""end"":30,""text"":""IAS"",""labels"":[""TITLE""]},{""start"":31,""end"":36,""text"":""बनना"",""labels"":[""VERB""]},{""start"":37,""end"":41,""text"":""चाहती"",""labels"":[""VERB""]},{""start"":42,""end"":46,""text"":""थीं"",""labels"":[""AUX""]},{""start"":47,""end"":54,""text"":""actress"",""labels"":[""TITLE""]},{""start"":55,""end"":65,""text"":""Yami Gautam"",""labels"":[""PROPN""]}]","Happy Birthday Yami Gautam: IAS बनना चाहती थीं actress Yami Gautam","2025-01-23T03:54:58.195306Z"
12,"2","2025-01-23T03:55:58.195306Z",12,211.000,"[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""EVENT""]},{""start"":27,""end"":37,""text"":""उत्तरकाशी टनल"",""labels"":[""LOCATION""]},{""start"":54,""end"":58,""text"":""Rate"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""PROPN""]},{""start"":26,""end"":37,""text"":""उत्तरकाशी टनल"",""labels"":[""LOCATION""]},{""start"":38,""end"":41,""text"":""में"",""labels"":[""ADP""]},{""start"":42,""end"":48,""text"":""हाथों से"",""labels"":[""NOUN""]},{""start"":49,""end"":52,""text"":""खुदाई"",""labels"":[""NOUN""]},{""start"":53,""end"":59,""text"":""करने"",""labels"":[""VERB""]},{""start"":60,""end"":64,""text"":""Rate"",""labels"":[""PROPN""]},{""start"":65,""end"":72,""text"":""माइनर्स"",""labels"":[""NOUN""]},{""start"":73,""end"":75,""text"":""पहुंचे"",""labels"":[""VERB""]}]","Uttarkashi Tunnel Rescue: उत्तरकाशी टनल में हाथों से खुदाई करने Rate माइनर्स पहुंचे","2025-01-23T03:55:58.195306Z"
13,"2","2025-01-23T03:56:58.195306Z",13,201.000,"[{""start"":22,""end"":27,""text"":""Bihar"",""labels"":[""LOCATION""]},{""start"":55,""end"":60,""text"":""गंगा"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":18,""text"":""Kartik Purnima 2023"",""labels"":[""NOUN""]},{""start"":19,""end"":21,""text"":""-"",""labels"":[""PUNCT""]},{""start"":22,""end"":27,""text"":""Bihar"",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""में"",""labels"":[""ADP""]},{""start"":32,""end"":35,""text"":""भी"",""labels"":[""ADV""]},{""start"":36,""end"":42,""text"":""लोगों ने"",""labels"":[""NOUN""]},{""start"":43,""end"":48,""text"":""गंगा"",""labels"":[""PROPN""]},{""start"":49,""end"":53,""text"":""स्नान"",""labels"":[""NOUN""]},{""start"":54,""end"":58,""text"":""किया"",""labels"":[""VERB""]}]","Kartik Purnima 2023: कार्तिक पूर्णिमा पर Bihar में भी लोगों ने गंगा स्नान किया | Bihar","2025-01-23T03:56:58.195306Z"
14,"2","2025-01-23T03:57:58.195306Z",14,211.500,"[{""start"":22,""end"":32,""text"":""काशी-संगम"",""labels"":[""LOCATION""]},{""start"":67,""end"":72,""text"":""सरयू"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":18,""text"":""Kartik Purnima 2023"",""labels"":[""NOUN""]},{""start"":19,""end"":21,""text"":""-"",""labels"":[""PUNCT""]},{""start"":22,""end"":32,""text"":""काशी-संगम"",""labels"":[""PROPN""]},{""start"":33,""end"":36,""text"":""में"",""labels"":[""ADP""]},{""start"":37,""end"":41,""text"":""आस्था"",""labels"":[""NOUN""]},{""start"":42,""end"":44,""text"":""की"",""labels"":[""ADP""]},{""start"":45,""end"":51,""text"":""डूबकी"",""labels"":[""NOUN""]},{""start"":52,""end"":56,""text"":""सरयू"",""labels"":[""PROPN""]},{""start"":57,""end"":59,""text"":""के"",""labels"":[""ADP""]},{""start"":60,""end"":65,""text"":""घाटों"",""labels"":[""NOUN""]},{""start"":66,""end"":70,""text"":""पर"",""labels"":[""ADP""]},{""start"":71,""end"":77,""text"":""15 lakh"",""labels"":[""NUM""]},{""start"":78,""end"":82,""text"":""लोग"",""labels"":[""NOUN""]},{""start"":83,""end"":86,""text"":""पहुंचे"",""labels"":[""VERB""]}]","Kartik Purnima 2023: पूर्णिमा पर काशी-संगम में आस्था की डूबकी, सरयू के घाटों पर 15 lakh लोग पहुंचे","2025-01-23T03:57:58.195306Z"
15,"2","2025-01-23T03:58:58.195306Z",15,191.500,"[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""EVENT""]},{""start"":27,""end"":42,""text"":""उत्तरकाशी tunnel"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":25,""text"":""Uttarkashi Tunnel Rescue"",""labels"":[""PROPN""]},{""start"":26,""end"":42,""text"":""उत्तरकाशी tunnel"",""labels"":[""PROPN""]},{""start"":43,""end"":45,""text"":""में"",""labels"":[""ADP""]},{""start"":46,""end"":53,""text"":""शुक्रवार"",""labels"":[""DATE""]},{""start"":54,""end"":56,""text"":""से"",""labels"":[""ADP""]},{""start"":57,""end"":59,""text"":""बंद"",""labels"":[""VERB""]},{""start"":60,""end"":66,""text"":""rescue"",""labels"":[""NOUN""]},{""start"":67,""end"":70,""text"":""आज"",""labels"":[""ADV""]},{""start"":71,""end"":73,""text"":""शुरू"",""labels"":[""VERB""]},{""start"":74,""end"":78,""text"":""होगा"",""labels"":[""AUX""]}]","Uttarkashi Tunnel Rescue: उत्तरकाशी tunnel में शुक्रवार से बंद rescue आज शुरू होगा |","2025-01-23T03:58:58.195306Z"
16,"2","2025-01-23T03:59:58.195306Z",16,176.000,"[{""start"":0,""end"":17,""text"":""Amitabh Bachchan"",""labels"":[""PERSON""]},{""start"":24,""end"":30,""text"":""shweta"",""labels"":[""PERSON""]},{""start"":36,""end"":43,""text"":""प्रतीक्षा बंगला"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":17,""text"":""Amitabh Bachchan"",""labels"":[""PROPN""]},{""start"":18,""end"":21,""text"":""ने"",""labels"":[""VERB""]},{""start"":22,""end"":24,""text"":""बेटी"",""labels"":[""NOUN""]},{""start"":25,""end"":30,""text"":""shweta"",""labels"":[""PROPN""]},{""start"":31,""end"":33,""text"":""को"",""labels"":[""ADP""]},{""start"":34,""end"":43,""text"":""प्रतीक्षा बंगला"",""labels"":[""LOCATION""]},{""start"":44,""end"":48,""text"":""gift"",""labels"":[""VERB""]},{""start"":49,""end"":53,""text"":""किया"",""labels"":[""VERB""]}]","Amitabh Bachchan: अमिताभ ने बेटी shweta को प्रतीक्षा बंगला gift किया |","2025-01-23T03:59:58.195306Z"
17,"2","2025-01-23T04:00:58.195306Z",17,191.000,"[{""start"":0,""end"":30,""text"":""Uttarkashi Tunnel Rescue Updates"",""labels"":[""EVENT""]},{""start"":32,""end"":45,""text"":""उत्तरकाशी टनल"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":30,""text"":""Uttarkashi Tunnel Rescue Updates"",""labels"":[""PROPN""]},{""start"":31,""end"":45,""text"":""उत्तरकाशी टनल"",""labels"":[""LOCATION""]},{""start"":46,""end"":48,""text"":""में"",""labels"":[""ADP""]},{""start"":49,""end"":53,""text"":""बाकी"",""labels"":[""ADJ""]},{""start"":54,""end"":57,""text"":""खुदाई"",""labels"":[""NOUN""]},{""start"":58,""end"":60,""text"":""हाथ"",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":""से"",""labels"":[""ADP""]},{""start"":64,""end"":67,""text"":""होगी"",""labels"":[""AUX""]}]","Uttarkashi Tunnel Rescue Updates: उत्तरकाशी टनल में बाकी खुदाई हाथ से होगी","2025-01-23T04:00:58.195306Z"
18,"2","2025-01-23T04:01:58.195306Z",18,201.500,"[{""start"":0,""end"":6,""text"":""PM Modi"",""labels"":[""PERSON""]},{""start"":10,""end"":16,""text"":""Mathura"",""labels"":[""LOCATION""]},{""start"":20,""end"":22,""text"":""PM"",""labels"":[""TITLE""]},{""start"":36,""end"":43,""text"":""mathura"",""labels"":[""LOCATION""]},{""start"":70,""end"":83,""text"":""श्रीकृष्ण जन्मभूमि"",""labels"":[""LOCATION""]}]","[{""start"":0,""end"":6,""text"":""PM Modi"",""labels"":[""PROPN""]},{""start"":7,""end"":9,""text"":""In"",""labels"":[""ADP""]},{""start"":10,""end"":16,""text"":""Mathura"",""labels"":[""PROPN""]},{""start"":17,""end"":19,""text"":""PM"",""labels"":[""PROPN""]},{""start"":20,""end"":22,""text"":""ने"",""labels"":[""VERB""]},{""start"":23,""end"":31,""text"":""thursday"",""labels"":[""DATE""]},{""start"":32,""end"":34,""text"":""को"",""labels"":[""ADP""]},{""start"":35,""end"":43,""text"":""mathura"",""labels"":[""PROPN""]},{""start"":44,""end"":52,""text"":""पहुंचकर"",""labels"":[""VERB""]},{""start"":53,""end"":58,""text"":""सबसे"",""labels"":[""ADV""]},{""start"":59,""end"":64,""text"":""पहले"",""labels"":[""ADV""]},{""start"":65,""end"":83,""text"":""श्रीकृष्ण जन्मभूमि"",""labels"":[""LOCATION""]},{""start"":84,""end"":86,""text"":""के"",""labels"":[""ADP""]},{""start"":87,""end"":91,""text"":""दर्शन"",""labels"":[""NOUN""]},{""start"":92,""end"":95,""text"":""किए"",""labels"":[""VERB""]}]","PM Modi In Mathura: PM ने thursday को mathura पहुंचकर सबसे पहले श्रीकृष्ण जन्मभूमि के दर्शन किए|","2025-01-23T04:01:58.195306Z"
19,"2","2025-01-23T04:02:58.195306Z",19,181.000,"[{""start"":0,""end"":9,""text"":""राजस्थान"",""labels"":[""LOCATION""]},{""start"":14,""end"":16,""text"":""CM"",""labels"":[""TITLE""]},{""start"":42,""end"":54,""text"":""गजेंद्र सिंह शेखावत"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":9,""text"":""राजस्थान"",""labels"":[""PROPN""]},{""start"":10,""end"":12,""text"":""के"",""labels"":[""ADP""]},{""start"":13,""end"":15,""text"":""CM"",""labels"":[""TITLE""]},{""start"":16,""end"":20,""text"":""बनने"",""labels"":[""VERB""]},{""start"":21,""end"":23,""text"":""के"",""labels"":[""ADP""]},{""start"":24,""end"":29,""text"":""सवाल"",""labels"":[""NOUN""]},{""start"":30,""end"":32,""text"":""पर"",""labels"":[""ADP""]},{""start"":33,""end"":36,""text"":""क्या"",""labels"":[""PRON""]},{""start"":37,""end"":39,""text"":""बोले"",""labels"":[""VERB""]},{""start"":40,""end"":46,""text"":""केंद्रीय"",""labels"":[""ADJ""]},{""start"":47,""end"":51,""text"":""मंत्री"",""labels"":[""NOUN""]},{""start"":52,""end"":54,""text"":""गजेंद्र सिंह शेखावत"",""labels"":[""PROPN""]},{""start"":55,""end"":57,""text"":""..."",""labels"":[""PUNCT""]},{""start"":58,""end"":61,""text"":""देखिए"",""labels"":[""VERB""]},{""start"":62,""end"":65,""text"":""पूरा"",""labels"":[""ADJ""]},{""start"":66,""end"":75,""text"":""Interview"",""labels"":[""NOUN""]}]","राजस्थान के CM बनने के सवाल पर क्या बोले केंद्रीय मंत्री गजेंद्र सिंह शेखावत... देखिए पूरा Interview","2025-01-23T04:02:58.195306Z"
20,"2","2025-01-23T04:03:58.195306Z",20,196.000,"[{""start"":26,""end"":33,""text"":""World Cup"",""labels"":[""EVENT""]},{""start"":42,""end"":47,""text"":""रोहित"",""labels"":[""PERSON""]},{""start"":48,""end"":52,""text"":""विराट"",""labels"":[""PERSON""]},{""start"":81,""end"":92,""text"":""Virat Kohli"",""labels"":[""PERSON""]},{""start"":95,""end"":107,""text"":""Rohit Sharma"",""labels"":[""PERSON""]}]","[{""start"":0,""end"":22,""text"":""World Cup Final 2023"",""labels"":[""NOUN""]},{""start"":23,""end"":25,""text"":""क्या"",""labels"":[""PRON""]},{""start"":26,""end"":33,""text"":""World Cup"",""labels"":[""PROPN""]},{""start"":34,""end"":36,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":37,""end"":42,""text"":""खेलेंगे"",""labels"":[""VERB""]},{""start"":43,""end"":45,""text"":""|"",""labels"":[""PUNCT""]},{""start"":46,""end"":47,""text"":""Virat Kohli"",""labels"":[""PROPN""]},{""start"":48,""end"":50,""text"":""|"",""labels"":[""PUNCT""]},{""start"":51,""end"":107,""text"":""Rohit Sharma"",""labels"":[""PROPN""]}]","World Cup Final 2023: क्या रोहित-विराट अब वर्ल्ड कप नहीं खेलेंगे | Virat Kohli | Rohit Sharma","2025-01-23T04:03:58.195306Z"